run_id,N,modules,slot,batch_id,repeat,main_status,ESKF_count,ESKD_count,K_ESKD,K1_ESKD,K2_ESKD,K_zero_fraction,K_max,q_ESKF,valid_update_rate_Hz,ESKF_PC_interval_mean_s,ESKF_trigger_reason
20260907_015106_825879,2,M1_M2,M1,BATCH_87a8929733aa49f48b160c96f56b245f,3,PASS,30,5975,2.2977405857740587,0.8135564853556485,1.48418410041841,0.552468619246862,28,0.004995836802664446,200.1560176994178,0.9991341793100783,unknown_without_correlated_firmware_events
20260907_015106_825879,2,M1_M2,M2,BATCH_87a8929733aa49f48b160c96f56b245f,3,PASS,30,5975,22.18661087866109,21.97723849372385,0.2093723849372385,0.049372384937238493,37,0.004995836802664446,200.1560176994178,0.9991363827580715,unknown_without_correlated_firmware_events
20260907_015217_328962,2,M1_M3,M1,BATCH_949b70f5ee8047728fe43b97d160acd0,1,PASS,30,6091,5.215071416844525,1.37514365457232,3.839927762272205,0.1666393038909867,26,0.004901159941186081,204.00407778863178,0.9670937999998669,unknown_without_correlated_firmware_events
20260907_015217_328962,2,M1_M3,M3,BATCH_949b70f5ee8047728fe43b97d160acd0,1,PASS,30,6091,3.2168773600394025,1.5815137087506157,1.6353636512887868,0.1341323263831883,57,0.004901159941186081,204.00407778863178,0.9913003862070738,unknown_without_correlated_firmware_events
20260907_015257_395753,2,M1_M3,M1,BATCH_949b70f5ee8047728fe43b97d160acd0,2,PASS,30,5981,9.092793847182746,3.473666610934626,5.619127236248119,0.08744357130914562,64,0.004990850108135086,200.36373200587946,0.9983815275863263,unknown_without_correlated_firmware_events
20260907_015257_395753,2,M1_M3,M3,BATCH_949b70f5ee8047728fe43b97d160acd0,2,PASS,30,5981,2.419662263835479,0.8866410299281057,1.5330212339073734,0.17237920080254138,37,0.004990850108135086,200.36373200587946,0.9980359068963324,unknown_without_correlated_firmware_events
20260907_015337_478535,2,M1_M3,M1,BATCH_949b70f5ee8047728fe43b97d160acd0,3,PASS,30,5985,9.541854636591479,3.555388471177945,5.986466165413534,0.0962406015037594,54,0.004987531172069825,200.4716513038044,0.9978514034481687,unknown_without_correlated_firmware_events
20260907_015337_478535,2,M1_M3,M3,BATCH_949b70f5ee8047728fe43b97d160acd0,3,PASS,30,5985,3.575271512113617,2.3729323308270676,1.2023391812865498,0.15639097744360902,50,0.004987531172069825,200.4716513038044,0.9978373620693235,unknown_without_correlated_firmware_events
20260907_015550_103879,2,M2_M3,M2,BATCH_d8bda735d5aa42709b25fbc143ad2769,1,PASS,30,5980,22.422073578595317,22.22759197324415,0.19448160535117057,0.04464882943143813,46,0.004991680532445923,200.2032859502869,0.9994013793104135,unknown_without_correlated_firmware_events
20260907_015550_103879,2,M2_M3,M3,BATCH_d8bda735d5aa42709b25fbc143ad2769,1,PASS,30,5980,3.0938127090301,1.1563545150501673,1.9374581939799331,0.15852842809364548,28,0.004991680532445923,200.2032859502869,0.9986468241379419,unknown_without_correlated_firmware_events
20260907_015630_225115,2,M2_M3,M2,BATCH_d8bda735d5aa42709b25fbc143ad2769,2,PASS,30,5977,22.16161954157604,21.965199933076793,0.1964196084992471,0.00033461602810774636,42,0.00499417346429166,200.20847344706783,0.9990585689655714,unknown_without_correlated_firmware_events
20260907_015630_225115,2,M2_M3,M3,BATCH_d8bda735d5aa42709b25fbc143ad2769,2,PASS,30,5977,3.043500083654007,1.0381462272042832,2.005353856449724,0.1572695332106408,22,0.00499417346429166,200.20847344706783,0.9956395724137989,unknown_without_correlated_firmware_events
20260907_015710_248741,2,M2_M3,M2,BATCH_d8bda735d5aa42709b25fbc143ad2769,3,PASS,30,5978,22.052525928404147,21.858815657410506,0.19371027099364335,0.0005018400802944129,42,0.004993342210386152,200.23736059407702,0.9989366586207701,unknown_without_correlated_firmware_events
